캠페인ID,캠페인명,시작일,종료일,채널,예산(만원),대상고객수
CAM001,여름맞이 할인,2023-06-01,2023-06-30,이메일,500,300
CAM002,신규가입 프로모션,2023-03-01,2023-03-31,앱푸시,800,500
CAM003,추석 감사 이벤트,2023-09-15,2023-10-05,SMS,600,350
CAM004,겨울 특별 혜택,2023-12-01,2023-12-31,이메일,700,400
CAM005,봄맞이 리텐션 캠페인,2024-03-01,2024-03-31,SNS,1000,450
CAM006,프리미엄 업그레이드 할인,2023-07-15,2023-08-15,앱푸시,400,200
CAM007,친구 초대 이벤트,2023-05-01,2023-05-31,SNS,900,600
CAM008,1주년 기념 할인,2023-10-01,2023-10-31,이메일,550,280
CAM009,블랙프라이데이 특가,2023-11-20,2023-11-30,SMS,1200,550
CAM010,연말 감사 쿠폰,2023-12-20,2024-01-05,앱푸시,650,380
